date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-08-10,00:00,65.48,66.2,95,1023,0.0,Clear,clear sky,23:55,06:28,20:15,Lynchburg,1754798107
2025-08-10,00:15,64.33,64.92,95,1024,0.0,Clear,clear sky,00:15,06:28,20:15,Lynchburg,1754799302
2025-08-10,00:30,64.08,64.65,95,1024,0.0,Clear,clear sky,00:27,06:28,20:15,Lynchburg,1754800072
2025-08-10,00:45,64.08,64.65,95,1023,0.0,Clear,clear sky,00:44,06:28,20:15,Lynchburg,1754801066
2025-08-10,01:00,63.84,64.4,95,1023,0.0,Clear,clear sky,00:59,06:28,20:15,Lynchburg,1754801949
2025-08-10,01:15,64.58,65.1,93,1023,0.0,Clear,clear sky,01:14,06:28,20:15,Lynchburg,1754802845
2025-08-10,01:30,63.93,64.44,94,1023,0.0,Clear,clear sky,01:30,06:28,20:15,Lynchburg,1754803802
2025-08-10,01:45,63.7,64.24,95,1023,0.0,Clear,clear sky,01:44,06:28,20:15,Lynchburg,1754804696
2025-08-10,02:00,63.48,64.0,95,1023,0.0,Clear,clear sky,01:56,06:28,20:15,Lynchburg,1754805375
2025-08-10,02:15,64.18,64.76,95,1024,0.0,Clear,clear sky,02:15,06:28,20:15,Lynchburg,1754806501
2025-08-10,02:30,63.95,64.51,95,1023,0.0,Clear,clear sky,02:30,06:28,20:15,Lynchburg,1754807401
2025-08-10,02:45,63.95,64.56,96,1023,0.0,Clear,clear sky,02:45,06:28,20:15,Lynchburg,1754808300
2025-08-10,03:00,63.79,64.38,96,1023,0.0,Clear,clear sky,02:56,06:28,20:15,Lynchburg,1754808971
2025-08-10,03:15,63.07,63.59,96,1023,0.0,Clear,clear sky,03:15,06:28,20:15,Lynchburg,1754810102
2025-08-10,03:30,62.87,63.37,96,1023,0.0,Clear,clear sky,03:30,06:28,20:15,Lynchburg,1754811001
2025-08-10,03:45,62.67,63.16,96,1023,0.0,Clear,clear sky,03:45,06:28,20:15,Lynchburg,1754811902
2025-08-10,04:00,62.67,63.16,96,1023,0.0,Clear,clear sky,04:00,06:28,20:15,Lynchburg,1754812801
2025-08-10,04:15,61.75,62.24,98,1023,0.0,Clear,clear sky,04:15,06:28,20:15,Lynchburg,1754813702
2025-08-10,04:30,61.75,62.24,98,1023,0.0,Clear,clear sky,04:30,06:28,20:15,Lynchburg,1754814601
2025-08-10,04:45,61.75,62.24,98,1023,0.0,Clear,clear sky,04:45,06:28,20:15,Lynchburg,1754815501
2025-08-10,05:00,61.54,62.01,98,1023,0.0,Clear,clear sky,04:55,06:28,20:15,Lynchburg,1754816146
2025-08-10,05:15,61.54,62.01,98,1023,0.0,Mist,mist,05:12,06:28,20:15,Lynchburg,1754817124
2025-08-10,05:30,61.54,62.01,98,1024,0.0,Mist,mist,05:30,06:28,20:15,Lynchburg,1754818201
2025-08-10,05:45,60.82,61.21,98,1024,0.0,Clear,clear sky,05:45,06:28,20:15,Lynchburg,1754819101
2025-08-10,06:00,60.82,61.21,98,1024,0.0,Clear,clear sky,06:00,06:28,20:15,Lynchburg,1754820001
2025-08-10,06:15,61.12,61.54,98,1024,0.0,Clear,clear sky,06:15,06:28,20:15,Lynchburg,1754820901
2025-08-10,06:30,61.12,61.54,98,1024,0.0,Clear,clear sky,06:30,06:28,20:15,Lynchburg,1754821802
2025-08-10,06:45,61.12,61.54,98,1024,0.0,Clear,clear sky,06:45,06:28,20:15,Lynchburg,1754822701
2025-08-10,07:00,60.93,61.32,98,1024,0.0,Clear,clear sky,07:00,06:28,20:15,Lynchburg,1754823602
2025-08-10,07:15,61.12,61.54,98,1024,0.0,Clear,clear sky,07:13,06:28,20:15,Lynchburg,1754824432
2025-08-10,07:30,61.3,61.79,99,1024,0.0,Clear,clear sky,07:25,06:28,20:15,Lynchburg,1754825117
2025-08-10,07:45,62.31,62.89,99,1025,0.0,Clear,clear sky,07:42,06:28,20:15,Lynchburg,1754826158
2025-08-10,08:00,61.84,62.38,99,1025,0.0,Clear,clear sky,07:55,06:28,20:15,Lynchburg,1754826901
2025-08-10,08:15,65.71,66.54,97,1025,0.0,Clear,clear sky,08:10,06:28,20:15,Lynchburg,1754827829
2025-08-10,08:30,65.84,66.63,96,1024,0.0,Clear,clear sky,08:30,06:28,20:15,Lynchburg,1754829001
2025-08-10,08:45,67.44,68.31,94,1025,0.0,Clear,clear sky,08:41,06:28,20:15,Lynchburg,1754829683
2025-08-10,09:00,66.6,67.42,95,1025,0.0,Clear,clear sky,08:55,06:28,20:15,Lynchburg,1754830522
2025-08-10,09:15,70.45,71.28,87,1024,3.44,Clear,clear sky,09:11,06:28,20:15,Lynchburg,1754831519
2025-08-10,09:30,70.79,71.56,85,1024,3.44,Clear,clear sky,09:30,06:28,20:15,Lynchburg,1754832602
2025-08-10,09:45,72.88,73.67,81,1024,3.44,Clear,clear sky,09:45,06:28,20:15,Lynchburg,1754833501
2025-08-10,10:00,73.63,74.46,80,1024,3.44,Clear,clear sky,09:59,06:28,20:15,Lynchburg,1754834365
2025-08-10,10:15,74.89,75.65,76,1024,0.0,Clear,clear sky,10:15,06:28,20:15,Lynchburg,1754835301
2025-08-10,10:30,75.9,76.71,75,1024,0.0,Clear,clear sky,10:28,06:28,20:15,Lynchburg,1754836083
2025-08-10,10:45,76.42,77.14,72,1024,0.0,Clear,clear sky,10:45,06:28,20:15,Lynchburg,1754837101
2025-08-10,11:00,78.21,79.3,76,1024,2.1,Clear,clear sky,11:00,06:28,20:15,Lynchburg,1754838001
2025-08-10,11:15,77.27,78.03,71,1024,4.61,Clear,clear sky,11:15,06:28,20:15,Lynchburg,1754838901
2025-08-10,11:30,77.65,78.35,69,1024,4.61,Clear,clear sky,11:30,06:28,20:15,Lynchburg,1754839801
