date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-07-31,00:00,78.04,79.45,83,1016,0.0,Mist,mist,00:00,06:20,20:25,Lynchburg,1753934402
2025-07-31,00:15,78.04,79.45,83,1016,0.0,Mist,mist,00:15,06:20,20:25,Lynchburg,1753935302
2025-07-31,00:30,77.83,79.21,83,1016,0.0,Mist,mist,00:27,06:20,20:25,Lynchburg,1753936038
2025-07-31,00:45,77.83,79.21,83,1015,0.0,Mist,mist,00:45,06:20,20:25,Lynchburg,1753937102
2025-07-31,01:00,77.14,78.31,80,1015,0.0,Mist,mist,01:00,06:20,20:25,Lynchburg,1753938002
2025-07-31,01:15,76.89,78.04,80,1016,0.0,Clear,clear sky,01:11,06:20,20:25,Lynchburg,1753938682
2025-07-31,01:30,76.89,78.04,80,1015,0.0,Clear,clear sky,01:30,06:20,20:25,Lynchburg,1753939802
2025-07-31,01:45,77.16,78.44,82,1015,0.0,Mist,mist,01:45,06:20,20:25,Lynchburg,1753940701
2025-07-31,02:00,77.04,78.33,83,1015,0.0,Mist,mist,02:00,06:20,20:25,Lynchburg,1753941601
2025-07-31,02:15,76.19,77.41,83,1016,0.0,Clouds,broken clouds,02:15,06:20,20:25,Lynchburg,1753942502
2025-07-31,02:30,76.59,77.85,83,1015,0.0,Mist,mist,02:30,06:20,20:25,Lynchburg,1753943402
2025-07-31,02:45,76.68,77.9,82,1015,0.0,Mist,mist,02:41,06:20,20:25,Lynchburg,1753944084
2025-07-31,03:00,76.59,77.76,81,1015,0.0,Mist,mist,02:57,06:20,20:25,Lynchburg,1753945056
2025-07-31,03:15,76.68,77.9,82,1015,3.44,Mist,mist,03:14,06:20,20:25,Lynchburg,1753946072
2025-07-31,03:30,76.59,77.85,83,1015,3.44,Mist,mist,03:27,06:20,20:25,Lynchburg,1753946830
2025-07-31,03:45,76.68,77.9,82,1015,3.44,Mist,mist,03:45,06:20,20:25,Lynchburg,1753947902
2025-07-31,04:00,76.68,77.85,81,1015,0.0,Mist,mist,04:00,06:20,20:25,Lynchburg,1753948802
2025-07-31,04:15,76.68,77.85,81,1015,0.0,Mist,mist,04:15,06:20,20:25,Lynchburg,1753949702
2025-07-31,04:30,76.3,77.52,83,1015,0.0,Mist,mist,04:27,06:20,20:25,Lynchburg,1753950447
2025-07-31,04:45,75.94,77.0,80,1015,0.0,Mist,mist,04:45,06:20,20:25,Lynchburg,1753951501
2025-07-31,05:00,76.3,77.52,83,1015,0.0,Fog,fog,04:56,06:20,20:25,Lynchburg,1753952175
2025-07-31,05:15,76.68,77.94,83,1015,3.44,Mist,mist,05:15,06:20,20:25,Lynchburg,1753953302
2025-07-31,05:30,76.59,77.76,81,1015,0.0,Mist,mist,05:28,06:20,20:25,Lynchburg,1753954137
2025-07-31,05:45,75.94,77.0,80,1015,0.0,Mist,mist,05:42,06:20,20:25,Lynchburg,1753954939
2025-07-31,06:00,75.43,76.44,80,1015,0.0,Fog,fog,05:56,06:20,20:25,Lynchburg,1753955775
2025-07-31,06:15,75.33,76.32,80,1015,0.0,Fog,fog,06:15,06:20,20:25,Lynchburg,1753956902
2025-07-31,06:30,75.54,76.69,83,1015,0.0,Fog,fog,06:28,06:20,20:25,Lynchburg,1753957703
2025-07-31,06:45,75.54,76.69,83,1015,0.0,Mist,mist,06:45,06:20,20:25,Lynchburg,1753958702
2025-07-31,07:00,75.92,77.02,81,1015,3.44,Fog,fog,06:58,06:20,20:25,Lynchburg,1753959529
2025-07-31,07:15,76.03,77.14,81,1015,0.0,Fog,fog,07:15,06:20,20:25,Lynchburg,1753960501
2025-07-31,07:30,75.88,76.93,80,1015,0.0,Fog,fog,07:27,06:20,20:25,Lynchburg,1753961246
2025-07-31,07:45,76.12,77.2,80,1015,0.0,Mist,mist,07:45,06:20,20:25,Lynchburg,1753962302
2025-07-31,08:00,76.73,77.81,79,1015,3.44,Mist,mist,07:55,06:20,20:25,Lynchburg,1753962942
2025-07-31,08:15,77.23,78.51,82,1015,4.61,Mist,mist,08:14,06:20,20:25,Lynchburg,1753964091
2025-07-31,08:30,77.88,79.18,81,1015,3.44,Mist,mist,08:25,06:20,20:25,Lynchburg,1753964721
2025-07-31,08:45,78.12,79.43,81,1015,3.44,Mist,mist,08:40,06:20,20:25,Lynchburg,1753965615
