date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-08-08,00:00,70.29,70.97,84,1024,6.91,Clouds,overcast clouds,00:00,06:26,20:17,Lynchburg,1754625601
2025-08-08,00:15,70.16,70.83,84,1024,3.44,Clouds,overcast clouds,00:14,06:26,20:17,Lynchburg,1754626468
2025-08-08,00:30,70.05,70.7,84,1024,3.44,Clouds,overcast clouds,00:30,06:26,20:17,Lynchburg,1754627402
2025-08-08,00:45,69.94,70.59,84,1024,3.44,Clouds,overcast clouds,00:45,06:26,20:17,Lynchburg,1754628302
2025-08-08,01:00,69.94,70.59,84,1024,3.44,Clouds,overcast clouds,01:00,06:26,20:17,Lynchburg,1754629200
2025-08-08,01:15,68.72,69.3,85,1023,3.44,Clouds,few clouds,01:15,06:26,20:17,Lynchburg,1754630102
2025-08-08,01:30,68.38,68.92,85,1023,3.44,Clouds,few clouds,01:30,06:26,20:17,Lynchburg,1754631001
2025-08-08,01:45,67.93,68.36,84,1023,3.44,Clouds,few clouds,01:45,06:26,20:17,Lynchburg,1754631902
2025-08-08,02:00,67.59,68.04,85,1023,3.44,Clouds,few clouds,02:00,06:26,20:17,Lynchburg,1754632802
2025-08-08,02:15,67.48,67.93,85,1023,3.44,Clear,clear sky,02:13,06:26,20:17,Lynchburg,1754633626
2025-08-08,02:30,66.92,67.32,85,1023,3.44,Clear,clear sky,02:30,06:26,20:17,Lynchburg,1754634602
2025-08-08,02:45,66.81,67.19,85,1023,3.44,Clear,clear sky,02:45,06:26,20:17,Lynchburg,1754635501
2025-08-08,03:00,66.36,66.69,85,1023,3.44,Clear,clear sky,03:00,06:26,20:17,Lynchburg,1754636402
2025-08-08,03:15,66.2,66.56,86,1023,0.0,Mist,mist,03:14,06:26,20:17,Lynchburg,1754637293
2025-08-08,03:30,65.79,65.97,83,1023,0.0,Mist,mist,03:26,06:26,20:17,Lynchburg,1754638004
2025-08-08,03:45,65.79,65.97,83,1023,0.0,Mist,mist,03:44,06:26,20:17,Lynchburg,1754639057
2025-08-08,04:00,65.93,66.13,83,1023,0.0,Mist,mist,04:00,06:26,20:17,Lynchburg,1754640002
