date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-08-18,00:00,76.98,78.04,78,1014,0.0,Clear,clear sky,00:00,06:35,20:05,Lynchburg,1755489601
2025-08-18,00:15,76.05,77.16,81,1014,0.0,Clear,clear sky,00:14,06:35,20:05,Lynchburg,1755490483
2025-08-18,00:30,75.85,77.04,83,1014,0.0,Clear,clear sky,00:25,06:35,20:05,Lynchburg,1755491159
2025-08-18,00:45,75.85,77.04,83,1014,0.0,Clear,clear sky,00:45,06:35,20:05,Lynchburg,1755492301
2025-08-18,01:00,75.63,76.75,82,1014,0.0,Clear,clear sky,01:00,06:35,20:05,Lynchburg,1755493202
2025-08-18,01:15,75.9,77.0,81,1015,4.61,Clouds,few clouds,01:12,06:35,20:05,Lynchburg,1755493926
2025-08-18,01:30,75.92,77.02,81,1015,4.61,Clouds,few clouds,01:28,06:35,20:05,Lynchburg,1755494915
2025-08-18,01:45,75.97,76.98,79,1014,4.61,Clouds,few clouds,01:42,06:35,20:05,Lynchburg,1755495738
2025-08-18,02:00,75.97,76.98,79,1014,4.61,Clouds,few clouds,01:57,06:35,20:05,Lynchburg,1755496653
2025-08-18,02:15,75.25,76.33,82,1015,0.0,Clouds,broken clouds,02:15,06:35,20:05,Lynchburg,1755497701
2025-08-18,02:30,75.34,76.33,80,1014,0.0,Clouds,broken clouds,02:30,06:35,20:05,Lynchburg,1755498601
2025-08-18,02:45,75.34,76.3,79,1014,0.0,Clouds,broken clouds,02:41,06:35,20:05,Lynchburg,1755499312
2025-08-18,03:00,75.49,76.44,79,1014,0.0,Clouds,broken clouds,03:00,06:35,20:05,Lynchburg,1755500401
2025-08-18,03:15,74.61,75.49,79,1015,3.44,Clouds,scattered clouds,03:11,06:35,20:05,Lynchburg,1755501077
2025-08-18,03:30,74.88,75.63,76,1014,3.44,Clouds,scattered clouds,03:30,06:35,20:05,Lynchburg,1755502202
2025-08-18,03:45,74.88,75.69,77,1014,3.44,Clouds,scattered clouds,03:42,06:35,20:05,Lynchburg,1755502929
2025-08-18,04:00,74.61,75.38,77,1014,3.44,Clouds,scattered clouds,03:55,06:35,20:05,Lynchburg,1755503742
2025-08-18,04:15,73.54,74.17,76,1015,0.0,Clear,clear sky,04:10,06:35,20:05,Lynchburg,1755504628
2025-08-18,04:30,73.54,74.17,76,1015,0.0,Clear,clear sky,04:30,06:35,20:05,Lynchburg,1755505801
2025-08-18,04:45,73.08,73.8,79,1015,0.0,Clear,clear sky,04:45,06:35,20:05,Lynchburg,1755506702
2025-08-18,05:00,73.08,73.8,79,1015,0.0,Clear,clear sky,04:59,06:35,20:05,Lynchburg,1755507574
2025-08-18,05:15,72.68,73.4,80,1015,3.44,Clouds,few clouds,05:10,06:35,20:05,Lynchburg,1755508254
2025-08-18,05:30,72.55,73.27,80,1015,3.44,Clouds,few clouds,05:27,06:35,20:05,Lynchburg,1755509246
2025-08-18,05:45,72.1,72.77,80,1015,3.44,Clouds,few clouds,05:42,06:35,20:05,Lynchburg,1755510130
2025-08-18,06:00,72.01,72.68,80,1015,3.44,Clouds,few clouds,06:00,06:35,20:05,Lynchburg,1755511202
2025-08-18,06:15,71.38,72.03,81,1015,0.0,Clear,clear sky,06:15,06:35,20:05,Lynchburg,1755512101
2025-08-18,06:30,71.53,72.05,78,1016,0.0,Clear,clear sky,06:30,06:35,20:05,Lynchburg,1755513002
2025-08-18,06:45,71.53,72.09,79,1016,0.0,Clear,clear sky,06:42,06:35,20:05,Lynchburg,1755513731
2025-08-18,07:00,71.53,72.05,78,1016,0.0,Clear,clear sky,07:00,06:35,20:05,Lynchburg,1755514802
2025-08-18,07:15,71.46,72.07,80,1016,3.44,Clear,clear sky,07:15,06:35,20:05,Lynchburg,1755515701
2025-08-18,07:30,71.56,72.18,80,1016,3.44,Clear,clear sky,07:30,06:35,20:05,Lynchburg,1755516601
2025-08-18,07:45,71.96,72.48,77,1016,3.44,Clear,clear sky,07:45,06:35,20:05,Lynchburg,1755517501
2025-08-18,08:00,72.1,72.73,79,1016,3.44,Clear,clear sky,07:56,06:35,20:05,Lynchburg,1755518215
2025-08-18,08:15,72.48,73.0,76,1016,2.55,Clouds,scattered clouds,08:12,06:35,20:05,Lynchburg,1755519127
2025-08-18,08:30,74.55,75.51,81,1017,3.44,Clear,clear sky,08:30,06:35,20:05,Lynchburg,1755520201
2025-08-18,08:45,75.2,76.28,82,1017,3.44,Clear,clear sky,08:42,06:35,20:05,Lynchburg,1755520933
2025-08-18,09:00,76.35,77.59,83,1017,3.44,Clear,clear sky,09:00,06:35,20:05,Lynchburg,1755522002
2025-08-18,09:15,80.04,83.79,76,1017,3.44,Clear,clear sky,09:15,06:35,20:05,Lynchburg,1755522901
2025-08-18,09:30,79.79,79.79,75,1017,3.44,Clear,clear sky,09:30,06:35,20:05,Lynchburg,1755523802
2025-08-18,09:45,79.79,79.79,76,1017,3.44,Clear,clear sky,09:44,06:35,20:05,Lynchburg,1755524658
2025-08-18,10:00,80.89,85.28,75,1017,3.44,Clear,clear sky,10:00,06:35,20:05,Lynchburg,1755525602
2025-08-18,10:15,80.28,84.09,75,1017,9.22,Clouds,few clouds,10:12,06:35,20:05,Lynchburg,1755526335
2025-08-18,10:30,80.62,84.6,74,1018,9.22,Clouds,few clouds,10:28,06:35,20:05,Lynchburg,1755527283
2025-08-18,10:45,82.54,87.98,72,1017,9.22,Clouds,few clouds,10:42,06:35,20:05,Lynchburg,1755528135
2025-08-18,11:00,81.9,85.42,66,1017,9.22,Clouds,few clouds,11:00,06:35,20:05,Lynchburg,1755529202
2025-08-18,11:15,80.83,84.83,73,1018,6.91,Clouds,scattered clouds,11:10,06:35,20:05,Lynchburg,1755529847
2025-08-18,11:30,80.85,84.7,72,1018,6.91,Clouds,scattered clouds,11:29,06:35,20:05,Lynchburg,1755530982
2025-08-18,11:45,81.88,86.0,69,1017,6.91,Clouds,scattered clouds,11:45,06:35,20:05,Lynchburg,1755531901
2025-08-18,12:00,81.88,86.0,69,1017,6.91,Clouds,scattered clouds,11:57,06:35,20:05,Lynchburg,1755532675
2025-08-18,12:15,83.7,87.55,62,1018,10.36,Clouds,broken clouds,12:15,06:35,20:05,Lynchburg,1755533702
2025-08-18,12:30,83.68,87.24,61,1017,10.36,Clouds,broken clouds,12:30,06:35,20:05,Lynchburg,1755534601
2025-08-18,12:45,83.68,87.24,61,1017,10.36,Clouds,broken clouds,12:44,06:35,20:05,Lynchburg,1755535443
2025-08-18,13:00,83.71,87.57,62,1017,10.36,Clouds,broken clouds,12:56,06:35,20:05,Lynchburg,1755536174
2025-08-18,13:15,83.66,90.37,72,1018,9.22,Clouds,broken clouds,13:10,06:35,20:05,Lynchburg,1755537043
2025-08-18,13:30,81.93,85.48,66,1017,9.22,Clouds,broken clouds,13:30,06:35,20:05,Lynchburg,1755538201
2025-08-18,13:45,82.54,87.24,69,1017,9.22,Clouds,broken clouds,13:45,06:35,20:05,Lynchburg,1755539102
2025-08-18,14:00,82.54,87.48,70,1017,9.22,Clouds,broken clouds,14:00,06:35,20:05,Lynchburg,1755540002
2025-08-18,14:15,82.81,88.02,70,1018,5.75,Clouds,broken clouds,14:14,06:35,20:05,Lynchburg,1755540874
2025-08-18,14:30,83.66,89.74,70,1018,5.75,Clouds,broken clouds,14:30,06:35,20:05,Lynchburg,1755541801
2025-08-18,14:45,84.51,90.9,68,1018,5.75,Clouds,broken clouds,14:41,06:35,20:05,Lynchburg,1755542506
2025-08-18,15:00,83.66,89.74,70,1018,5.75,Clouds,broken clouds,14:55,06:35,20:05,Lynchburg,1755543321
2025-08-18,15:15,84.51,91.58,70,1018,6.91,Clouds,broken clouds,15:10,06:35,20:05,Lynchburg,1755544229
2025-08-18,15:30,83.64,89.11,68,1018,6.91,Clouds,broken clouds,15:26,06:35,20:05,Lynchburg,1755545184
2025-08-18,15:45,84.51,90.9,68,1017,6.91,Clouds,broken clouds,15:45,06:35,20:05,Lynchburg,1755546301
2025-08-18,16:00,83.66,89.74,70,1017,6.91,Clouds,overcast clouds,16:00,06:35,20:05,Lynchburg,1755547202
2025-08-18,16:15,82.81,88.54,72,1017,9.22,Clouds,broken clouds,16:15,06:35,20:05,Lynchburg,1755548101
2025-08-18,16:30,83.66,90.05,71,1017,9.22,Clouds,broken clouds,16:30,06:35,20:05,Lynchburg,1755549002
2025-08-18,16:45,83.66,89.74,70,1017,9.22,Clouds,broken clouds,16:45,06:35,20:05,Lynchburg,1755549901
