date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-08-04,00:00,62.38,62.37,86,1021,0.0,Clear,clear sky,23:55,06:23,20:21,Lynchburg,1754279731
2025-08-04,00:15,62.28,62.15,84,1021,0.0,Clear,clear sky,00:10,06:23,20:21,Lynchburg,1754280601
2025-08-04,00:30,62.28,62.2,85,1021,0.0,Clear,clear sky,00:27,06:23,20:21,Lynchburg,1754281648
2025-08-04,00:45,62.04,61.93,85,1021,0.0,Clear,clear sky,00:43,06:23,20:21,Lynchburg,1754282580
2025-08-04,01:00,61.57,61.43,85,1021,0.0,Clear,clear sky,00:55,06:23,20:21,Lynchburg,1754283301
2025-08-04,01:15,61.09,60.84,84,1020,0.0,Clear,clear sky,01:10,06:23,20:21,Lynchburg,1754284211
2025-08-04,01:30,60.96,60.71,84,1021,0.0,Clear,clear sky,01:30,06:23,20:21,Lynchburg,1754285402
2025-08-04,01:45,60.85,60.58,84,1021,0.0,Clear,clear sky,01:45,06:23,20:21,Lynchburg,1754286301
2025-08-04,02:00,60.87,60.6,84,1021,0.0,Clear,clear sky,02:00,06:23,20:21,Lynchburg,1754287202
2025-08-04,02:15,61.25,61.12,86,1021,3.44,Clear,clear sky,02:13,06:23,20:21,Lynchburg,1754288036
2025-08-04,02:30,60.69,60.51,86,1021,3.44,Clear,clear sky,02:29,06:23,20:21,Lynchburg,1754288979
2025-08-04,02:45,60.69,60.51,86,1021,3.44,Clear,clear sky,02:45,06:23,20:21,Lynchburg,1754289901
2025-08-04,03:00,60.48,60.26,86,1021,3.44,Clear,clear sky,02:55,06:23,20:21,Lynchburg,1754290527
2025-08-04,03:15,60.6,60.4,86,1020,0.0,Clear,clear sky,03:14,06:23,20:21,Lynchburg,1754291695
2025-08-04,03:30,60.49,60.19,84,1021,0.0,Clear,clear sky,03:30,06:23,20:21,Lynchburg,1754292602
2025-08-04,03:45,60.15,59.92,86,1021,0.0,Clear,clear sky,03:45,06:23,20:21,Lynchburg,1754293501
2025-08-04,04:00,60.04,59.79,86,1021,0.0,Clear,clear sky,04:00,06:23,20:21,Lynchburg,1754294401
2025-08-04,04:15,59.25,58.93,86,1021,0.0,Mist,mist,04:13,06:23,20:21,Lynchburg,1754295183
2025-08-04,04:30,58.59,58.19,86,1021,0.0,Mist,mist,04:29,06:23,20:21,Lynchburg,1754296192
2025-08-04,04:45,58.59,58.19,86,1021,0.0,Mist,mist,04:40,06:23,20:21,Lynchburg,1754296802
2025-08-04,05:00,58.59,58.19,86,1021,0.0,Mist,mist,05:00,06:23,20:21,Lynchburg,1754298002
2025-08-04,05:15,59.74,59.27,82,1021,0.0,Clear,clear sky,05:15,06:23,20:21,Lynchburg,1754298902
2025-08-04,05:30,59.74,59.27,82,1021,0.0,Clear,clear sky,05:28,06:23,20:21,Lynchburg,1754299694
2025-08-04,05:45,58.19,57.56,82,1021,2.01,Clear,clear sky,05:45,06:23,20:21,Lynchburg,1754300701
2025-08-04,06:00,58.19,57.61,83,1021,2.01,Clear,clear sky,06:00,06:23,20:21,Lynchburg,1754301601
2025-08-04,06:15,58.33,57.54,78,1021,2.01,Clear,clear sky,06:15,06:23,20:21,Lynchburg,1754302502
2025-08-04,06:30,58.33,57.54,78,1022,1.99,Clear,clear sky,06:30,06:23,20:21,Lynchburg,1754303402
2025-08-04,06:45,58.15,57.34,78,1022,1.99,Clear,clear sky,06:43,06:23,20:21,Lynchburg,1754304186
2025-08-04,07:00,58.15,57.34,78,1022,1.99,Clear,clear sky,07:00,06:23,20:21,Lynchburg,1754305201
2025-08-04,07:15,58.05,57.4,82,1021,1.99,Clear,clear sky,07:14,06:23,20:21,Lynchburg,1754306061
2025-08-04,07:30,59.14,58.66,83,1022,0.0,Clear,clear sky,07:30,06:23,20:21,Lynchburg,1754307002
2025-08-04,07:45,61.3,61.56,94,1022,0.0,Clear,clear sky,07:45,06:23,20:21,Lynchburg,1754307901
2025-08-04,08:00,59.97,59.47,81,1022,0.0,Clear,clear sky,07:58,06:23,20:21,Lynchburg,1754308738
