date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-08-16,00:00,74.88,75.87,81,1020,0.0,Mist,mist,00:00,06:33,20:08,Lynchburg,1755316802
2025-08-16,00:15,74.5,75.51,82,1020,0.0,Clouds,few clouds,00:15,06:33,20:08,Lynchburg,1755317701
2025-08-16,00:30,74.59,75.6,82,1020,0.0,Clouds,few clouds,00:30,06:33,20:08,Lynchburg,1755318602
2025-08-16,00:45,74.03,74.98,82,1020,0.0,Clouds,few clouds,00:42,06:33,20:08,Lynchburg,1755319330
2025-08-16,01:00,73.99,74.86,80,1020,0.0,Clouds,few clouds,00:57,06:33,20:08,Lynchburg,1755320271
2025-08-16,01:15,73.87,74.77,81,1020,3.44,Clear,clear sky,01:15,06:33,20:08,Lynchburg,1755321301
2025-08-16,01:30,73.87,74.8,82,1020,3.44,Clear,clear sky,01:30,06:33,20:08,Lynchburg,1755322201
2025-08-16,01:45,73.65,74.57,82,1020,3.44,Clear,clear sky,01:43,06:33,20:08,Lynchburg,1755323010
2025-08-16,02:00,73.45,74.26,80,1020,3.44,Clear,clear sky,02:00,06:33,20:08,Lynchburg,1755324001
2025-08-16,02:15,74.05,74.97,81,1020,0.0,Clear,clear sky,02:15,06:33,20:08,Lynchburg,1755324902
2025-08-16,02:30,73.6,74.46,81,1020,0.0,Clear,clear sky,02:30,06:33,20:08,Lynchburg,1755325802
2025-08-16,02:45,73.6,74.46,81,1020,0.0,Clear,clear sky,02:45,06:33,20:08,Lynchburg,1755326701
2025-08-16,03:00,73.49,74.35,81,1020,0.0,Clear,clear sky,02:58,06:33,20:08,Lynchburg,1755327514
2025-08-16,03:15,72.99,73.8,81,1020,3.44,Clouds,few clouds,03:11,06:33,20:08,Lynchburg,1755328271
2025-08-16,03:30,72.86,73.65,81,1021,3.44,Clouds,few clouds,03:27,06:33,20:08,Lynchburg,1755329247
2025-08-16,03:45,72.43,73.18,81,1020,3.44,Clouds,few clouds,03:45,06:33,20:08,Lynchburg,1755330302
2025-08-16,04:00,72.43,73.18,81,1020,3.44,Clouds,few clouds,04:00,06:33,20:08,Lynchburg,1755331200
2025-08-16,04:15,72.32,73.06,81,1020,0.0,Clear,clear sky,04:10,06:33,20:08,Lynchburg,1755331823
2025-08-16,04:30,72.21,72.93,81,1020,0.0,Clear,clear sky,04:30,06:33,20:08,Lynchburg,1755333002
2025-08-16,04:45,72.21,72.93,81,1020,0.0,Mist,mist,04:41,06:33,20:08,Lynchburg,1755333673
2025-08-16,05:00,72.21,72.93,81,1020,0.0,Mist,mist,04:55,06:33,20:08,Lynchburg,1755334521
2025-08-16,05:15,72.0,72.7,81,1020,0.0,Mist,mist,05:13,06:33,20:08,Lynchburg,1755335589
2025-08-16,05:30,72.0,72.7,81,1020,0.0,Mist,mist,05:27,06:33,20:08,Lynchburg,1755336446
2025-08-16,05:45,72.0,72.7,81,1020,0.0,Mist,mist,05:45,06:33,20:08,Lynchburg,1755337502
2025-08-16,06:00,72.0,72.7,81,1020,0.0,Mist,mist,05:58,06:33,20:08,Lynchburg,1755338331
2025-08-16,06:15,71.42,72.07,81,1020,0.0,Mist,mist,06:15,06:33,20:08,Lynchburg,1755339301
2025-08-16,06:30,71.42,72.07,81,1020,0.0,Mist,mist,06:29,06:33,20:08,Lynchburg,1755340173
2025-08-16,06:45,71.42,72.07,81,1020,0.0,Mist,mist,06:45,06:33,20:08,Lynchburg,1755341101
2025-08-16,07:00,71.33,71.98,81,1020,0.0,Mist,mist,06:58,06:33,20:08,Lynchburg,1755341903
2025-08-16,07:15,71.04,71.74,83,1020,0.0,Clear,clear sky,07:15,06:33,20:08,Lynchburg,1755342901
2025-08-16,07:30,71.15,71.82,82,1020,0.0,Clear,clear sky,07:27,06:33,20:08,Lynchburg,1755343646
2025-08-16,07:45,71.24,71.92,82,1021,0.0,Clear,clear sky,07:45,06:33,20:08,Lynchburg,1755344702
2025-08-16,08:00,71.82,72.55,82,1021,0.0,Clear,clear sky,07:59,06:33,20:08,Lynchburg,1755345599
2025-08-16,08:15,72.81,73.51,79,1020,3.44,Clear,clear sky,08:15,06:33,20:08,Lynchburg,1755346502
2025-08-16,08:30,73.58,74.39,80,1021,3.44,Clouds,overcast clouds,08:30,06:33,20:08,Lynchburg,1755347401
2025-08-16,08:45,74.97,76.62,95,1021,3.44,Clouds,overcast clouds,08:45,06:33,20:08,Lynchburg,1755348302
2025-08-16,09:00,74.35,76.01,96,1021,3.44,Clouds,overcast clouds,09:00,06:33,20:08,Lynchburg,1755349201
2025-08-16,09:15,74.01,74.73,77,1021,3.44,Clouds,overcast clouds,09:11,06:33,20:08,Lynchburg,1755349872
2025-08-16,09:30,75.04,76.01,80,1021,3.44,Clouds,overcast clouds,09:27,06:33,20:08,Lynchburg,1755350846
2025-08-16,09:45,76.19,77.97,95,1021,3.44,Clouds,overcast clouds,09:45,06:33,20:08,Lynchburg,1755351902
2025-08-16,10:00,76.68,78.42,93,1021,3.44,Clouds,overcast clouds,10:00,06:33,20:08,Lynchburg,1755352801
2025-08-16,10:15,78.51,80.2,88,1021,0.0,Clouds,overcast clouds,10:10,06:33,20:08,Lynchburg,1755353433
2025-08-16,10:30,77.76,78.53,70,1020,0.0,Clouds,overcast clouds,10:30,06:33,20:08,Lynchburg,1755354602
2025-08-16,10:45,79.81,79.81,87,1021,0.0,Clouds,broken clouds,10:44,06:33,20:08,Lynchburg,1755355441
2025-08-16,11:00,80.69,86.81,86,1020,0.0,Clouds,broken clouds,10:56,06:33,20:08,Lynchburg,1755356185
2025-08-16,11:15,81.68,88.74,83,1021,0.0,Clouds,broken clouds,11:15,06:33,20:08,Lynchburg,1755357301
2025-08-16,11:30,81.19,87.49,83,1021,0.0,Clouds,broken clouds,11:26,06:33,20:08,Lynchburg,1755357984
2025-08-16,11:45,82.22,89.87,82,1020,0.0,Clouds,broken clouds,11:41,06:33,20:08,Lynchburg,1755358863
2025-08-16,12:00,82.35,89.64,80,1020,0.0,Clouds,broken clouds,11:58,06:33,20:08,Lynchburg,1755359914
2025-08-16,12:15,83.93,92.7,77,1020,4.61,Clouds,broken clouds,12:14,06:33,20:08,Lynchburg,1755360876
2025-08-16,12:30,83.16,91.4,79,1020,4.61,Clouds,broken clouds,12:30,06:33,20:08,Lynchburg,1755361801
2025-08-16,12:45,83.73,89.91,70,1020,4.61,Clouds,broken clouds,12:41,06:33,20:08,Lynchburg,1755362460
2025-08-16,13:00,84.79,94.55,76,1020,4.61,Clouds,broken clouds,12:59,06:33,20:08,Lynchburg,1755363590
2025-08-16,13:15,85.64,95.04,72,1020,4.61,Clouds,broken clouds,13:10,06:33,20:08,Lynchburg,1755364235
2025-08-16,13:30,86.11,95.32,70,1020,4.61,Clouds,broken clouds,13:27,06:33,20:08,Lynchburg,1755365245
2025-08-16,13:45,86.59,95.61,68,1019,4.61,Clouds,broken clouds,13:45,06:33,20:08,Lynchburg,1755366301
2025-08-16,14:00,85.53,90.91,62,1019,4.61,Clouds,broken clouds,13:56,06:33,20:08,Lynchburg,1755366994
2025-08-16,14:15,87.87,97.25,65,1019,5.75,Clouds,broken clouds,14:15,06:33,20:08,Lynchburg,1755368101
2025-08-16,14:30,88.11,98.87,67,1018,5.75,Clouds,broken clouds,14:30,06:33,20:08,Lynchburg,1755369002
2025-08-16,14:45,87.21,97.11,68,1018,5.75,Clouds,broken clouds,14:45,06:33,20:08,Lynchburg,1755369901
2025-08-16,15:00,88.0,97.56,65,1018,5.75,Clouds,broken clouds,15:00,06:33,20:08,Lynchburg,1755370802
2025-08-16,15:15,88.68,99.79,66,1019,5.75,Clouds,broken clouds,15:11,06:33,20:08,Lynchburg,1755371466
2025-08-16,15:30,88.74,98.29,63,1018,5.75,Clouds,broken clouds,15:30,06:33,20:08,Lynchburg,1755372602
2025-08-16,15:45,89.58,99.25,61,1018,5.75,Clouds,broken clouds,15:45,06:33,20:08,Lynchburg,1755373501
2025-08-16,16:00,87.67,97.27,66,1018,5.75,Clouds,broken clouds,16:00,06:33,20:08,Lynchburg,1755374402
2025-08-16,16:15,87.62,97.65,67,1018,4.61,Clouds,broken clouds,16:11,06:33,20:08,Lynchburg,1755375085
2025-08-16,16:30,87.89,97.3,65,1017,4.61,Clouds,broken clouds,16:30,06:33,20:08,Lynchburg,1755376201
2025-08-16,16:45,88.74,98.83,64,1017,4.61,Clouds,broken clouds,16:41,06:33,20:08,Lynchburg,1755376886
2025-08-16,17:00,88.72,97.74,62,1017,4.61,Clouds,broken clouds,16:56,06:33,20:08,Lynchburg,1755377784
2025-08-16,17:15,88.72,97.21,61,1018,4.61,Clear,clear sky,17:14,06:33,20:08,Lynchburg,1755378876
2025-08-16,17:30,88.72,97.21,61,1017,4.61,Clear,clear sky,17:30,06:33,20:08,Lynchburg,1755379802
2025-08-16,17:45,87.89,95.85,62,1017,4.61,Clear,clear sky,17:41,06:33,20:08,Lynchburg,1755380484
2025-08-16,18:00,87.89,95.85,62,1017,4.61,Clear,clear sky,17:59,06:33,20:08,Lynchburg,1755381579
2025-08-16,18:15,86.77,93.83,63,1017,4.61,Clouds,scattered clouds,18:15,06:33,20:08,Lynchburg,1755382502
2025-08-16,18:30,86.74,95.05,66,1017,4.61,Clouds,scattered clouds,18:30,06:33,20:08,Lynchburg,1755383401
2025-08-16,18:45,86.54,94.6,66,1017,4.61,Clouds,scattered clouds,18:41,06:33,20:08,Lynchburg,1755384113
2025-08-16,19:00,85.93,93.24,66,1017,4.61,Clouds,scattered clouds,18:55,06:33,20:08,Lynchburg,1755384907
2025-08-16,19:15,85.69,94.33,70,1017,3.44,Clear,clear sky,19:15,06:33,20:08,Lynchburg,1755386102
2025-08-16,19:30,84.49,92.62,73,1018,3.44,Clear,clear sky,19:27,06:33,20:08,Lynchburg,1755386830
2025-08-16,19:45,82.83,90.57,79,1017,1.99,Clouds,broken clouds,19:45,06:33,20:08,Lynchburg,1755387901
2025-08-16,20:00,82.22,89.6,81,1017,1.99,Clouds,broken clouds,20:00,06:33,20:08,Lynchburg,1755388801
2025-08-16,20:15,81.07,86.99,82,1017,0.0,Clear,clear sky,20:15,06:33,20:08,Lynchburg,1755389702
2025-08-16,20:30,80.19,85.06,83,1017,0.0,Clear,clear sky,20:30,06:33,20:08,Lynchburg,1755390601
2025-08-16,20:45,79.65,79.65,83,1017,0.0,Clear,clear sky,20:45,06:33,20:08,Lynchburg,1755391502
2025-08-16,21:00,79.29,79.29,82,1017,0.0,Clear,clear sky,21:00,06:33,20:08,Lynchburg,1755392402
2025-08-16,21:15,77.74,79.16,84,1017,0.0,Clear,clear sky,21:15,06:33,20:08,Lynchburg,1755393301
2025-08-16,21:30,76.64,78.01,85,1018,0.0,Clear,clear sky,21:25,06:33,20:08,Lynchburg,1755393935
2025-08-16,21:45,76.51,77.81,84,1018,0.0,Clear,clear sky,21:45,06:33,20:08,Lynchburg,1755395101
2025-08-16,22:00,76.69,77.83,80,1018,0.0,Clear,clear sky,21:56,06:33,20:08,Lynchburg,1755395790
2025-08-16,22:15,75.56,76.77,84,1018,0.0,Clear,clear sky,22:15,06:33,20:08,Lynchburg,1755396901
2025-08-16,22:30,75.33,76.46,83,1017,0.0,Clear,clear sky,22:30,06:33,20:08,Lynchburg,1755397801
2025-08-16,22:45,75.33,76.41,82,1018,0.0,Clear,clear sky,22:45,06:33,20:08,Lynchburg,1755398702
2025-08-16,23:00,75.09,76.1,81,1018,0.0,Clear,clear sky,22:59,06:33,20:08,Lynchburg,1755399578
2025-08-16,23:15,74.12,75.09,82,1018,0.0,Clear,clear sky,23:15,06:33,20:08,Lynchburg,1755400502
2025-08-16,23:30,74.46,75.47,82,1018,0.0,Clear,clear sky,23:30,06:33,20:08,Lynchburg,1755401401
2025-08-16,23:45,74.37,75.31,81,1018,0.0,Clear,clear sky,23:41,06:33,20:08,Lynchburg,1755402098
